Entrez Gene ID	Gene Symbol	Gene Name
7561	ZNF14	zinc finger protein 14
57692	MAGEE1	melanoma antigen family E, 1
58473	PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1
57463	AMIGO1	adhesion molecule with Ig-like domain 1
80701	AKR1D1P1	aldo-keto reductase family 1, member D1 pseudogene 1
123036	TC2N	tandem C2 domains, nuclear
5463	POU6F1	POU class 6 homeobox 1
3480	IGF1R	insulin-like growth factor 1 receptor
57191	VN1R1	vomeronasal 1 receptor 1
255231	MCOLN2	mucolipin 2
144363	LYRM5	LYR motif containing 5
22898	DENND3	DENN/MADD domain containing 3
3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)
401718	OR5BK1P	olfactory receptor, family 5, subfamily BK, member 1 pseudogene
283897	C16orf54	chromosome 16 open reading frame 54
170575	GIMAP1	GTPase, IMAP family member 1
147837	ZNF563	zinc finger protein 563
90321	ZNF766	zinc finger protein 766
10952	SEC61B	Sec61 beta subunit
55837	EAPP	E2F-associated phosphoprotein
22866	CNKSR2	connector enhancer of kinase suppressor of Ras 2
54851	ANKRD49	ankyrin repeat domain 49
79064	TMEM223	transmembrane protein 223
78988	MRP63	mitochondrial ribosomal protein 63
94039	ZNF101	zinc finger protein 101
91782	CHMP7	CHMP family, member 7
5619	PRM1	protamine 1
122525	C14orf28	chromosome 14 open reading frame 28
100129842	ZNF737	zinc finger protein 737
145864	HAPLN3	hyaluronan and proteoglycan link protein 3
50852	TRAT1	T cell receptor associated transmembrane adaptor 1
92595	ZNF764	zinc finger protein 764
51440	HPCAL4	hippocalcin like 4
8302	KLRC4	killer cell lectin-like receptor subfamily C, member 4
10396	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
253039	LOC253039	hypothetical LOC253039
3384	ICAM2	intercellular adhesion molecule 2
57605	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2
100129409	LOC100129409	hypothetical LOC100129409
389289	C5orf39	chromosome 5 open reading frame 39
2841	GPR18	G protein-coupled receptor 18
55340	GIMAP5	GTPase, IMAP family member 5
51272	BET1L	blocked early in transport 1 homolog (S. cerevisiae)-like
113878	DTX2	deltex homolog 2 (Drosophila)
83694	RPS6KL1	ribosomal protein S6 kinase-like 1
3081	HGD	homogentisate 1,2-dioxygenase
51554	CCRL1	chemokine (C-C motif) receptor-like 1
4973	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1
29851	ICOS	inducible T-cell co-stimulator
79695	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
939	CD27	CD27 molecule
11168	PSIP1	PC4 and SFRS1 interacting protein 1
6006	RHCE	Rh blood group, CcEe antigens
4240	MFGE8	milk fat globule-EGF factor 8 protein
51759	C9orf78	chromosome 9 open reading frame 78
340542	BEX5	brain expressed, X-linked 5
158787	RIBC1	RIB43A domain with coiled-coils 1
168451	THAP5	THAP domain containing 5
442673	TUBG1P	tubulin, gamma 1 pseudogene
1389	CREBL2	cAMP responsive element binding protein-like 2
148823	C1orf150	chromosome 1 open reading frame 150
139201	LOC139201	mitogen-activated protein kinase kinase 4 pseudogene
7754	ZNF204P	zinc finger protein 204, pseudogene
8809	IL18R1	interleukin 18 receptor 1
400347	LOC400347	REX4, RNA exonuclease 4 homolog (S. cerevisiae) pseudogene
3017	HIST1H2BD	histone cluster 1, H2bd
55664	CDC37L1	cell division cycle 37 homolog (S. cerevisiae)-like 1
90121	TSR2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)
643723	LOC643723	hypothetical LOC643723
8722	CTSF	cathepsin F
401251	C6orf26	chromosome 6 open reading frame 26
126375	ZNF792	zinc finger protein 792
645446	LOC645446	hypothetical LOC645446
7693	ZNF134	zinc finger protein 134
3573	IL6STP1	interleukin 6 signal transducer (gp130, oncostatin M receptor) pseudogene 1
730079	[No Symbol]	[No Name]
140775	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8
3720	JARID2	jumonji, AT rich interactive domain 2
100128269	[No Symbol]	[No Name]
22986	SORCS3	sortilin-related VPS10 domain containing receptor 3
8313	AXIN2	axin 2
6815	STYX	serine/threonine/tyrosine interacting protein
140735	DYNLL2	dynein, light chain, LC8-type 2
23641	LDOC1	leucine zipper, down-regulated in cancer 1
389023	LOC389023	hypothetical LOC389023
5728	PTEN	phosphatase and tensin homolog
55784	MCTP2	multiple C2 domains, transmembrane 2
728279	KRTAP2-2	keratin associated protein 2-2
163859	C1orf55	chromosome 1 open reading frame 55
29078	NDUFAF4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4
6932	TCF7	transcription factor 7 (T-cell specific, HMG-box)
4040	LRP6	low density lipoprotein receptor-related protein 6
441549	CDNF	cerebral dopamine neurotrophic factor
100131662	LOC100131662	hypothetical LOC100131662
84749	USP30	ubiquitin specific peptidase 30
5938	RBMS1P1	RNA binding motif, single stranded interacting protein 1 pseudogene 1
29058	C20orf30	chromosome 20 open reading frame 30
9472	AKAP6	A kinase (PRKA) anchor protein 6
3957	LGALS2	lectin, galactoside-binding, soluble, 2
1316	KLF6	Kruppel-like factor 6
6925	TCF4	transcription factor 4
100129956	LOC100129956	high mobility group nucleosomal binding domain 2 pseudogene
8345	HIST1H2BH	histone cluster 1, H2bh
23492	CBX7	chromobox homolog 7
4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
8368	HIST1H4L	histone cluster 1, H4l
55251	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
29083	GTPBP8	GTP-binding protein 8 (putative)
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
643058	LOC643058	interferon induced transmembrane protein pseudogene
80024	SLC24A6	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
100129866	LOC100129866	etoposide induced 2.4 mRNA pseudogene
3337	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1
117283	IP6K3	inositol hexakisphosphate kinase 3
442245	GSTM2P1	glutathione S-transferase mu 2 (muscle) pseudogene 1
219749	ZNF25	zinc finger protein 25
5583	PRKCH	protein kinase C, eta
23007	PLCH1	phospholipase C, eta 1
51399	TRAPPC4	trafficking protein particle complex 4
374443	LOC374443	CLR pseudogene
130500	CISD1P1	CDGSH iron sulfur domain 1 pseudogene 1
100128616	[No Symbol]	[No Name]
90007	MIDN	midnolin
54900	LAX1	lymphocyte transmembrane adaptor 1
284546	C1orf185	chromosome 1 open reading frame 185
687	KLF9	Kruppel-like factor 9
23180	RFTN1	raftlin, lipid raft linker 1
79088	ZNF426	zinc finger protein 426
4329	ALDH6A1	aldehyde dehydrogenase 6 family, member A1
116534	MRGPRE	MAS-related GPR, member E
157489	SDAD1P1	SDA1 domain containing 1 pseudogene 1
51310	SLC22A17	solute carrier family 22, member 17
646555	LOC646555	AT rich interactive domain 3B pseudogene
57561	ARRDC3	arrestin domain containing 3
6903	TBCC	tubulin folding cofactor C
23348	DOCK9	dedicator of cytokinesis 9
1213	CLTC	clathrin, heavy chain (Hc)
8301	PICALM	phosphatidylinositol binding clathrin assembly protein
100131457	LOC100131457	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene
4674	NAP1L2	nucleosome assembly protein 1-like 2
23174	ZCCHC14	zinc finger, CCHC domain containing 14
128553	TSHZ2	teashirt zinc finger homeobox 2
10179	RBM7	RNA binding motif protein 7
91612	CHURC1	churchill domain containing 1
79048	SECISBP2	SECIS binding protein 2
100131944	[No Symbol]	[No Name]
7014	TERF2	telomeric repeat binding factor 2
80321	CEP70	centrosomal protein 70kDa
116984	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
1397	CRIP2	cysteine-rich protein 2
649299	RPL36AP51	ribosomal protein L36a pseudogene 51
8445	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
2791	GNG11	guanine nucleotide binding protein (G protein), gamma 11
64407	RGS18	regulator of G-protein signaling 18
260342	BA345E19.2	COPS8 pseudogene
348158	ACSM2B	acyl-CoA synthetase medium-chain family member 2B
3007	HIST1H1D	histone cluster 1, H1d
100131284	LOC100131284	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 pseudogene
729376	[No Symbol]	[No Name]
7381	UQCRB	ubiquinol-cytochrome c reductase binding protein
84299	C17orf37	chromosome 17 open reading frame 37
100130249	PP2672	hypothetical LOC100130249
25801	GCA	grancalcin, EF-hand calcium binding protein
646344	LOC646344	similar to hCG2042391
55906	ZC4H2	zinc finger, C4H2 domain containing
8911	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit
9836	LCMT2	leucine carboxyl methyltransferase 2
729627	PRR23A	proline rich 23A
259215	LY6G6F	lymphocyte antigen 6 complex, locus G6F
9592	IER2	immediate early response 2
84987	C12orf62	chromosome 12 open reading frame 62
7556	ZNF10	zinc finger protein 10
3738	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3
1606	DGKA	diacylglycerol kinase, alpha 80kDa
3945	LDHB	lactate dehydrogenase B
57091	CASS4	Cas scaffolding protein family member 4
26995	TRUB2	TruB pseudouridine (psi) synthase homolog 2 (E. coli)
29997	GLTSCR2	glioma tumor suppressor candidate region gene 2
84101	USP44	ubiquitin specific peptidase 44
3727	JUND	jun D proto-oncogene
644459	LOC644459	BEN domain containing 3 pseudogene
26289	AK5	adenylate kinase 5
7204	TRIO	triple functional domain (PTPRF interacting)
128997	SLC9A3P2	solute carrier family 9 (sodium/hydrogen exchanger), member 3 pseudogene 2
497049	FLJ25758	hypothetical locus FLJ25758
3300	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2
389655	RPL29P19	ribosomal protein L29 pseudogene 19
5125	PCSK5	proprotein convertase subtilisin/kexin type 5
7023	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)
100129060	LOC100129060	hypothetical LOC100129060
54570	UGT2B26P	UDP glucuronosyltransferase 2 family, polypeptide B26 pseudogene
29902	C12orf24	chromosome 12 open reading frame 24
728545	[No Symbol]	[No Name]
338390	MRPS25P1	mitochondrial ribosomal protein S25 pseudogene 1
407044	MIR7-2	microRNA 7-2
201626	PDE12	phosphodiesterase 12
7163	TPD52	tumor protein D52
5111	PCNA	proliferating cell nuclear antigen
8365	HIST1H4H	histone cluster 1, H4h
55690	PACS1	phosphofurin acidic cluster sorting protein 1
57594	HOMEZ	homeobox and leucine zipper encoding
643	CXCR5	chemokine (C-X-C motif) receptor 5
4864	NPC1	Niemann-Pick disease, type C1
401303	ZNF815	zinc finger protein 815
402220	YTHDF1P1	YTH domain family, member 1 pseudogene 1
8364	HIST1H4C	histone cluster 1, H4c
328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1
195828	ZNF367	zinc finger protein 367
55303	GIMAP4	GTPase, IMAP family member 4
442142	SOX30P1	SRY (sex determining region Y)-box 30 pseudogene 1
55007	FAM118A	family with sequence similarity 118, member A
22877	MLXIP	MLX interacting protein
2180	ACSL1	acyl-CoA synthetase long-chain family member 1
641638	SNHG6	small nucleolar RNA host gene 6 (non-protein coding)
57659	ZBTB4	zinc finger and BTB domain containing 4
82500	PKP2P1	plakophilin 2 pseudogene 1
9976	CLEC2B	C-type lectin domain family 2, member B
9126	SMC3	structural maintenance of chromosomes 3
143686	SESN3	sestrin 3
8346	HIST1H2BI	histone cluster 1, H2bi
10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
5469	MED1	mediator complex subunit 1
27334	P2RY10	purinergic receptor P2Y, G-protein coupled, 10
27284	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1
100128709	[No Symbol]	[No Name]
57447	NDRG2	NDRG family member 2
57125	PLXDC1	plexin domain containing 1
64784	CRTC3	CREB regulated transcription coactivator 3
100131733	LOC100131733	hypothetical LOC100131733
643689	HNRNPA3P3	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3
6229	RPS24	ribosomal protein S24
10782	ZNF274	zinc finger protein 274
55831	TMEM111	transmembrane protein 111
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif, 10
4700	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
643445	LOC643445	tripartite motif containing 43 pseudogene
29940	DSE	dermatan sulfate epimerase
6881	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa
440515	ZNF506	zinc finger protein 506
64410	KLHL25	kelch-like 25 (Drosophila)
121642	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)
100128457	LOC100128457	similar to hCG2026341
122060	SLAIN1	SLAIN motif family, member 1
5924	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2
4809	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
6868	ADAM17	ADAM metallopeptidase domain 17
10534	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
6224	RPS20	ribosomal protein S20
100132612	LOC100132612	hypothetical protein LOC100132612
140565	[No Symbol]	[No Name]
286101	ZNF252	zinc finger protein 252
27131	SNX5	sorting nexin 5
158293	FAM120AOS	family with sequence similarity 120A opposite strand
80095	ZNF606	zinc finger protein 606
319140	GCATP1	glycine C-acetyltransferase pseudogene 1
1039	CDR2	cerebellar degeneration-related protein 2, 62kDa
55588	MED29	mediator complex subunit 29
1477	CSTF1	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
583	BBS2	Bardet-Biedl syndrome 2
8434	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
280658	SSX7	synovial sarcoma, X breakpoint 7
1185	CLCN6	chloride channel 6
1500	CTNND1	catenin (cadherin-associated protein), delta 1
6117	RPA1	replication protein A1, 70kDa
10284	SAP18	Sin3A-associated protein, 18kDa
7259	TSPYL1	TSPY-like 1
79888	LPCAT1	lysophosphatidylcholine acyltransferase 1
84892	C3orf39	chromosome 3 open reading frame 39
2882	GPX7	glutathione peroxidase 7
51141	INSIG2	insulin induced gene 2
729076	[No Symbol]	[No Name]
100129203	LOC100129203	hypothetical LOC100129203
387647	LOC387647	patched domain containing 3 pseudogene
619450	ATP6V1G1P2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 pseudogene 2
91574	C12orf65	chromosome 12 open reading frame 65
8698	S1PR4	sphingosine-1-phosphate receptor 4
27040	LAT	linker for activation of T cells
9925	ZBTB5	zinc finger and BTB domain containing 5
100132148	[No Symbol]	[No Name]
391465	LOC391465	STIP1 homology and U-box containing protein 1 pseudogene
29107	NXT1	NTF2-like export factor 1
6647	SOD1	superoxide dismutase 1, soluble
645367	GGT8P	gamma-glutamyltransferase 8 pseudogene
27316	RBMX	RNA binding motif protein, X-linked
79710	MORC4	MORC family CW-type zinc finger 4
729314	LOC729314	putative POM121-like protein 1-like
339290	LOC339290	hypothetical LOC339290
9737	GPRASP1	G protein-coupled receptor associated sorting protein 1
399665	FAM102A	family with sequence similarity 102, member A
7343	UBTF	upstream binding transcription factor, RNA polymerase I
3458	IFNG	interferon, gamma
51258	MRPL51	mitochondrial ribosomal protein L51
965	CD58	CD58 molecule
644159	LOC644159	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene
401884	MGC57346	hypothetical LOC401884
79037	PVRIG	poliovirus receptor related immunoglobulin domain containing
401288	NCRNA00242	non-protein coding RNA 242
143888	KDELC2	KDEL (Lys-Asp-Glu-Leu) containing 2
100130579	LOC100130579	hypothetical LOC100130579
353329	PSIP1P1	PC4 and SFRS1 interacting protein 1 pseudogene 1
642280	ZNF876P	zinc finger protein 876, pseudogene
5527	PPP2R5C	protein phosphatase 2, regulatory subunit B', gamma
112487	C14orf126	chromosome 14 open reading frame 126
1880	GPR183	G protein-coupled receptor 183
6934	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)
3009	HIST1H1B	histone cluster 1, H1b
342426	ZNF720P1	zinc finger protein 720 pseudogene 1
100129009	LOC100129009	WD repeats and SOF1 domain containing pseudogene
9093	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3
100128014	[No Symbol]	[No Name]
90673	PPP1R3E	protein phosphatase 1, regulatory (inhibitor) subunit 3E
387654	[No Symbol]	[No Name]
51729	WBP11	WW domain binding protein 11
84919	PPP1R15B	protein phosphatase 1, regulatory (inhibitor) subunit 15B
5193	PEX12	peroxisomal biogenesis factor 12
80725	SRCIN1	SRC kinase signaling inhibitor 1
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
484	ATP1B3P1	ATPase, Na+/K+ transporting, beta 3 pseudogene
115024	NT5C3L	5'-nucleotidase, cytosolic III-like
10227	MFSD10	major facilitator superfamily domain containing 10
696	BTN1A1	butyrophilin, subfamily 1, member A1
57690	TNRC6C	trinucleotide repeat containing 6C
23208	SYT11	synaptotagmin XI
283953	TMEM114	transmembrane protein 114
28429	IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional)
10131	TRAP1	TNF receptor-associated protein 1
10693	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)
4925	NUCB2	nucleobindin 2
23189	KANK1	KN motif and ankyrin repeat domains 1
23218	NBEAL2	neurobeachin-like 2
100131890	LOC100131890	neugrin, neurite outgrowth associated pseudogene
1107	CHD3	chromodomain helicase DNA binding protein 3
731223	LOC731223	hypothetical LOC731223
100130218	[No Symbol]	[No Name]
116337	PANX3	pannexin 3
79346	OR4C5	olfactory receptor, family 4, subfamily C, member 5
7597	ZBTB25	zinc finger and BTB domain containing 25
4077	NBR1	neighbor of BRCA1 gene 1
83896	KRTAP3-1	keratin associated protein 3-1
400359	C15orf53	chromosome 15 open reading frame 53
516	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
26530	OR12D1P	olfactory receptor, family 12, subfamily D, member 1 pseudogene
401337	FLJ45974	hypothetical LOC401337
100130880	LOC100130880	hypothetical protein LOC100130880
91523	FAM113B	family with sequence similarity 113, member B
100130840	[No Symbol]	[No Name]
9778	KIAA0232	KIAA0232
55734	ZFP64	zinc finger protein 64 homolog (mouse)
8347	HIST1H2BC	histone cluster 1, H2bc
4756	NEO1	neogenin 1
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
55509	BATF3	basic leucine zipper transcription factor, ATF-like 3
84837	C14orf128	chromosome 14 open reading frame 128
93164	HTR7P1	5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1
79640	C22orf46	chromosome 22 open reading frame 46
8036	SHOC2	soc-2 suppressor of clear homolog (C. elegans)
10075	HUWE1	HECT, UBA and WWE domain containing 1
100132922	RPL6P11	ribosomal protein L6 pseudogene 11
2354	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
1075	CTSC	cathepsin C
112476	PRRT2	proline-rich transmembrane protein 2
921	CD5	CD5 molecule
100130251	LOC100130251	hypothetical LOC100130251
376940	ZC3H6	zinc finger CCCH-type containing 6
59286	UBL5	ubiquitin-like 5
84078	KBTBD7	kelch repeat and BTB (POZ) domain containing 7
162972	ZNF550	zinc finger protein 550
3052	HCCS	holocytochrome c synthase
84707	BEX2	brain expressed X-linked 2
2947	GSTM3	glutathione S-transferase mu 3 (brain)
8772	FADD	Fas (TNFRSF6)-associated via death domain
168620	BHLHA15	basic helix-loop-helix family, member a15
100129472	PTP4A1P6	protein tyrosine phosphatase type IVA, member 1 pseudogene 6
900	CCNG1	cyclin G1
645900	LOC645900	lysosomal protein transmembrane 4 beta pseudogene
100130779	[No Symbol]	[No Name]
140597	TCEAL2	transcription elongation factor A (SII)-like 2
90693	CCDC126	coiled-coil domain containing 126
57165	GJC2	gap junction protein, gamma 2, 47kDa
23526	HMHA1	histocompatibility (minor) HA-1
121504	HIST4H4	histone cluster 4, H4
100131308	[No Symbol]	[No Name]
23588	KLHDC2	kelch domain containing 2
1073	CFL2	cofilin 2 (muscle)
284365	MGC45922	hypothetical LOC284365
643067	LOC643067	HORMA domain containing 1 pseudogene
729614	FLJ37453	hypothetical LOC729614
729013	LOC729013	hypothetical LOC729013
146050	ZSCAN29	zinc finger and SCAN domain containing 29
79956	ERMP1	endoplasmic reticulum metallopeptidase 1
163259	DENND2C	DENN/MADD domain containing 2C
729633	MRS2P2	MRS2 magnesium homeostasis factor homolog (S. cerevisiae) pseudogene 2
100130142	[No Symbol]	[No Name]
9846	GAB2	GRB2-associated binding protein 2
28383	IGHV7-27	immunoglobulin heavy variable 7-27 (pseudogene)
257160	RNF214	ring finger protein 214
415117	STX19	syntaxin 19
5788	PTPRC	protein tyrosine phosphatase, receptor type, C
8843	HCAR3	hydroxycarboxylic acid receptor 3
5196	PF4	platelet factor 4
2193	FARSA	phenylalanyl-tRNA synthetase, alpha subunit
442017	LOC442017	interferon induced transmembrane protein pseudogene
9334	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
2353	FOS	FBJ murine osteosarcoma viral oncogene homolog
1848	DUSP6	dual specificity phosphatase 6
55073	LRRC37A4	leucine rich repeat containing 37, member A4 (pseudogene)
100132073	LOC100132073	cyclin B2 pseudogene
112840	WDR89	WD repeat domain 89
100129292	LOC100129292	hypothetical protein LOC100129292
225	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2
57134	MAN1C1	mannosidase, alpha, class 1C, member 1
5747	PTK2	PTK2 protein tyrosine kinase 2
84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
79752	ZFAND1	zinc finger, AN1-type domain 1
7067	THRA	thyroid hormone receptor, alpha
158905	PHF10P1	PHD finger protein 10 pseudogene 1
10010	TANK	TRAF family member-associated NFKB activator
3841	KPNA5	karyopherin alpha 5 (importin alpha 6)
10868	USP20	ubiquitin specific peptidase 20
146198	ZFP90	zinc finger protein 90 homolog (mouse)
729451	LOC729451	hypothetical protein LOC729451
91300	C19orf22	chromosome 19 open reading frame 22
255488	RNF144B	ring finger protein 144B
55602	CDKN2AIP	CDKN2A interacting protein
55128	TRIM68	tripartite motif containing 68
643072	LOC643072	hypothetical LOC643072
171568	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
54414	SIAE	sialic acid acetylesterase
145748	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4
100131366	LOC100131366	hypothetical LOC100131366
57820	CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase
4430	MYO1B	myosin IB
594841	WDR45P	WDR45 pseudogene
84281	C2orf88	chromosome 2 open reading frame 88
284391	ZNF844	zinc finger protein 844
7743	ZNF189	zinc finger protein 189
8366	HIST1H4B	histone cluster 1, H4b
728724	LOC728724	hCG1814486
319101	KRT73	keratin 73
79831	JMJD5	jumonji domain containing 5
50486	G0S2	G0/G1switch 2
9789	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)
645218	[No Symbol]	[No Name]
54549	SDK2	sidekick homolog 2 (chicken)
100131510	LOC100131510	hypothetical LOC100131510
200186	CRTC2	CREB regulated transcription coactivator 2
10038	PARP2	poly (ADP-ribose) polymerase 2
347541	MAGEB5	melanoma antigen family B, 5
57562	KIAA1377	KIAA1377
301	ANXA1	annexin A1
391189	OR11L1	olfactory receptor, family 11, subfamily L, member 1
391833	RPS10P11	ribosomal protein S10 pseudogene 11
100129502	LOC100129502	hypothetical protein LOC100129502
6039	RNASE6	ribonuclease, RNase A family, k6
84326	C16orf13	chromosome 16 open reading frame 13
6234	RPS28	ribosomal protein S28
90139	TSPAN18	tetraspanin 18
5795	PTPRJ	protein tyrosine phosphatase, receptor type, J
