Entrez Gene ID	Gene Symbol	Gene Name
130399	ACVR1C	activin A receptor, type IC
3480	IGF1R	insulin-like growth factor 1 receptor
51176	LEF1	lymphoid enhancer-binding factor 1
55837	EAPP	E2F-associated phosphoprotein
144363	LYRM5	LYR motif containing 5
168537	GIMAP7	GTPase, IMAP family member 7
120224	TMEM45B	transmembrane protein 45B
100128616	[No Symbol]	[No Name]
3337	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1
645958	RPS18P9	ribosomal protein S18 pseudogene 9
7294	TXK	TXK tyrosine kinase
7754	ZNF204P	zinc finger protein 204, pseudogene
100132341	KIAA0664L3	KIAA0664-like 3
54851	ANKRD49	ankyrin repeat domain 49
646895	[No Symbol]	[No Name]
10179	RBM7	RNA binding motif protein 7
3655	ITGA6	integrin, alpha 6
4054	LTBP3	latent transforming growth factor beta binding protein 3
113791	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
641518	LOC641518	hypothetical LOC641518
7381	UQCRB	ubiquinol-cytochrome c reductase binding protein
30061	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1
259215	LY6G6F	lymphocyte antigen 6 complex, locus G6F
360	AQP3	aquaporin 3 (Gill blood group)
84749	USP30	ubiquitin specific peptidase 30
100133168	GPR183P1	G protein-coupled receptor 183 pseudogene 1
54494	C11orf71	chromosome 11 open reading frame 71
401093	LOC401093	hypothetical LOC401093
168451	THAP5	THAP domain containing 5
282997	LOC282997	hypothetical LOC282997
122525	C14orf28	chromosome 14 open reading frame 28
51266	CLEC1B	C-type lectin domain family 1, member B
6304	SATB1	SATB homeobox 1
80701	AKR1D1P1	aldo-keto reductase family 1, member D1 pseudogene 1
2815	GP9	glycoprotein IX (platelet)
80177	MYCT1	myc target 1
2686	GGT7	gamma-glutamyltransferase 7
100129436	[No Symbol]	[No Name]
403313	PPAPDC2	phosphatidic acid phosphatase type 2 domain containing 2
9925	ZBTB5	zinc finger and BTB domain containing 5
7644	ZNF91	zinc finger protein 91
122773	KLHDC1	kelch domain containing 1
91782	CHMP7	CHMP family, member 7
80321	CEP70	centrosomal protein 70kDa
5125	PCSK5	proprotein convertase subtilisin/kexin type 5
283897	C16orf54	chromosome 16 open reading frame 54
140606	SELM	selenoprotein M
23548	TTC33	tetratricopeptide repeat domain 33
288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
239	ALOX12	arachidonate 12-lipoxygenase
120776	OR2D2	olfactory receptor, family 2, subfamily D, member 2
687	KLF9	Kruppel-like factor 9
163778	SPRR4	small proline-rich protein 4
3081	HGD	homogentisate 1,2-dioxygenase
79048	SECISBP2	SECIS binding protein 2
2811	GP1BA	glycoprotein Ib (platelet), alpha polypeptide
644693	[No Symbol]	[No Name]
199746	U2AF1L4	U2 small nuclear RNA auxiliary factor 1-like 4
100128457	LOC100128457	similar to hCG2026341
100129866	LOC100129866	etoposide induced 2.4 mRNA pseudogene
1236	CCR7	chemokine (C-C motif) receptor 7
29851	ICOS	inducible T-cell co-stimulator
84850	C9orf70	chromosome 9 open reading frame 70
130500	CISD1P1	CDGSH iron sulfur domain 1 pseudogene 1
5578	PRKCA	protein kinase C, alpha
284391	ZNF844	zinc finger protein 844
9126	SMC3	structural maintenance of chromosomes 3
5463	POU6F1	POU class 6 homeobox 1
440603	BCL2L15	BCL2-like 15
49854	ZNF295	zinc finger protein 295
10023	FRAT1	frequently rearranged in advanced T-cell lymphomas
28984	C13orf15	chromosome 13 open reading frame 15
139302	[No Symbol]	[No Name]
129293	C2orf89	chromosome 2 open reading frame 89
100132148	[No Symbol]	[No Name]
27134	TJP3	tight junction protein 3 (zona occludens 3)
84144	SYDE2	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)
3738	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3
643058	LOC643058	interferon induced transmembrane protein pseudogene
57561	ARRDC3	arrestin domain containing 3
143686	SESN3	sestrin 3
342426	ZNF720P1	zinc finger protein 720 pseudogene 1
87	ACTN1	actinin, alpha 1
400347	LOC400347	REX4, RNA exonuclease 4 homolog (S. cerevisiae) pseudogene
5440	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
401303	ZNF815	zinc finger protein 815
55831	TMEM111	transmembrane protein 111
643723	LOC643723	hypothetical LOC643723
80741	LY6G5C	lymphocyte antigen 6 complex, locus G5C
113878	DTX2	deltex homolog 2 (Drosophila)
64407	RGS18	regulator of G-protein signaling 18
57605	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2
23086	EXPH5	exophilin 5
9737	GPRASP1	G protein-coupled receptor associated sorting protein 1
150864	FAM117B	family with sequence similarity 117, member B
23348	DOCK9	dedicator of cytokinesis 9
58473	PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1
3021	H3F3B	H3 histone, family 3B (H3.3B)
260342	BA345E19.2	COPS8 pseudogene
100129842	ZNF737	zinc finger protein 737
4240	MFGE8	milk fat globule-EGF factor 8 protein
80764	THAP7	THAP domain containing 7
7561	ZNF14	zinc finger protein 14
256987	SERINC5	serine incorporator 5
23641	LDOC1	leucine zipper, down-regulated in cancer 1
91612	CHURC1	churchill domain containing 1
3841	KPNA5	karyopherin alpha 5 (importin alpha 6)
442673	TUBG1P	tubulin, gamma 1 pseudogene
3727	JUND	jun D proto-oncogene
100129196	LOC100129196	hypothetical LOC100129196
51763	INPP5K	inositol polyphosphate-5-phosphatase K
8535	CBX4	chromobox homolog 4
51710	ZNF44	zinc finger protein 44
123036	TC2N	tandem C2 domains, nuclear
5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
6815	STYX	serine/threonine/tyrosine interacting protein
51460	SFMBT1	Scm-like with four mbt domains 1
163859	C1orf55	chromosome 1 open reading frame 55
900	CCNG1	cyclin G1
93624	TADA2B	transcriptional adaptor 2B
1073	CFL2	cofilin 2 (muscle)
100128262	LOC100128262	hypothetical LOC100128262
117283	IP6K3	inositol hexakisphosphate kinase 3
126259	TMIGD2	transmembrane and immunoglobulin domain containing 2
401261	FLJ38717	FLJ38717 protein
9592	IER2	immediate early response 2
83481	EPPK1	epiplakin 1
6932	TCF7	transcription factor 7 (T-cell specific, HMG-box)
91120	ZNF682	zinc finger protein 682
51272	BET1L	blocked early in transport 1 homolog (S. cerevisiae)-like
729184	[No Symbol]	[No Name]
583	BBS2	Bardet-Biedl syndrome 2
9214	FAIM3	Fas apoptotic inhibitory molecule 3
94039	ZNF101	zinc finger protein 101
649299	RPL36AP51	ribosomal protein L36a pseudogene 51
64784	CRTC3	CREB regulated transcription coactivator 3
201626	PDE12	phosphodiesterase 12
100131944	[No Symbol]	[No Name]
7067	THRA	thyroid hormone receptor, alpha
25949	SYF2	SYF2 homolog, RNA splicing factor (S. cerevisiae)
22866	CNKSR2	connector enhancer of kinase suppressor of Ras 2
7343	UBTF	upstream binding transcription factor, RNA polymerase I
90321	ZNF766	zinc finger protein 766
57692	MAGEE1	melanoma antigen family E, 1
158293	FAM120AOS	family with sequence similarity 120A opposite strand
100131988	[No Symbol]	[No Name]
93035	PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
8445	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
152007	GLIPR2	GLI pathogenesis-related 2
7556	ZNF10	zinc finger protein 10
29083	GTPBP8	GTP-binding protein 8 (putative)
80024	SLC24A6	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
1316	KLF6	Kruppel-like factor 6
643689	HNRNPA3P3	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3
27284	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1
55073	LRRC37A4	leucine rich repeat containing 37, member A4 (pseudogene)
84281	C2orf88	chromosome 2 open reading frame 88
79836	LONRF3	LON peptidase N-terminal domain and ring finger 3
4329	ALDH6A1	aldehyde dehydrogenase 6 family, member A1
78988	MRP63	mitochondrial ribosomal protein 63
5334	PLCL1	phospholipase C-like 1
27040	LAT	linker for activation of T cells
157489	SDAD1P1	SDA1 domain containing 1 pseudogene 1
80762	NDFIP1	Nedd4 family interacting protein 1
219749	ZNF25	zinc finger protein 25
10927	SPIN1	spindlin 1
5413	SEPT5	septin 5
80213	TM2D3	TM2 domain containing 3
50852	TRAT1	T cell receptor associated transmembrane adaptor 1
90007	MIDN	midnolin
3458	IFNG	interferon, gamma
146050	ZSCAN29	zinc finger and SCAN domain containing 29
10857	PGRMC1	progesterone receptor membrane component 1
254170	FBXO33	F-box protein 33
55251	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
57134	MAN1C1	mannosidase, alpha, class 1C, member 1
84872	ZC3H10	zinc finger CCCH-type containing 10
100128269	[No Symbol]	[No Name]
145173	B3GALTL	beta 1,3-galactosyltransferase-like
54543	TOMM7	translocase of outer mitochondrial membrane 7 homolog (yeast)
5816	PVALB	parvalbumin
55340	GIMAP5	GTPase, IMAP family member 5
81606	LBH	limb bud and heart development homolog (mouse)
6903	TBCC	tubulin folding cofactor C
79956	ERMP1	endoplasmic reticulum metallopeptidase 1
100129956	LOC100129956	high mobility group nucleosomal binding domain 2 pseudogene
449645	SF3A3P2	splicing factor 3a, subunit 3 pseudogene 2
11168	PSIP1	PC4 and SFRS1 interacting protein 1
8345	HIST1H2BH	histone cluster 1, H2bh
22828	SCAF8	SR-related CTD-associated factor 8
440515	ZNF506	zinc finger protein 506
57708	MIER1	mesoderm induction early response 1 homolog (Xenopus laevis)
4118	MAL	mal, T-cell differentiation protein
283521	NCRNA00282	non-protein coding RNA 282
6232	RPS27	ribosomal protein S27
819	CAMLG	calcium modulating ligand
729627	PRR23A	proline rich 23A
64805	P2RY12	purinergic receptor P2Y, G-protein coupled, 12
7035	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
58486	ZBED5	zinc finger, BED-type containing 5
5747	PTK2	PTK2 protein tyrosine kinase 2
2332	FMR1	fragile X mental retardation 1
55466	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
26515	FXC1	fracture callus 1 homolog (rat)
100131308	[No Symbol]	[No Name]
4756	NEO1	neogenin 1
8365	HIST1H4H	histone cluster 1, H4h
338390	MRPS25P1	mitochondrial ribosomal protein S25 pseudogene 1
64393	ZMAT3	zinc finger, matrin-type 3
161436	EML5	echinoderm microtubule associated protein like 5
4674	NAP1L2	nucleosome assembly protein 1-like 2
1659	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8
145748	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4
51729	WBP11	WW domain binding protein 11
51132	RLIM	ring finger protein, LIM domain interacting
375287	RBM43	RNA binding motif protein 43
26292	MYCBP	c-myc binding protein
29080	CCDC59	coiled-coil domain containing 59
8988	HSPB3	heat shock 27kDa protein 3
9976	CLEC2B	C-type lectin domain family 2, member B
5504	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2
5196	PF4	platelet factor 4
100131492	LOC100131492	PP12901
376940	ZC3H6	zinc finger CCCH-type containing 6
51440	HPCAL4	hippocalcin like 4
100132612	LOC100132612	hypothetical protein LOC100132612
5111	PCNA	proliferating cell nuclear antigen
441549	CDNF	cerebral dopamine neurotrophic factor
4040	LRP6	low density lipoprotein receptor-related protein 6
170575	GIMAP1	GTPase, IMAP family member 1
115024	NT5C3L	5'-nucleotidase, cytosolic III-like
23007	PLCH1	phospholipase C, eta 1
401718	OR5BK1P	olfactory receptor, family 5, subfamily BK, member 1 pseudogene
84224	NBPF3	neuroblastoma breakpoint family, member 3
3300	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2
2053	EPHX2	epoxide hydrolase 2, cytoplasmic
90121	TSR2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)
5938	RBMS1P1	RNA binding motif, single stranded interacting protein 1 pseudogene 1
100131366	LOC100131366	hypothetical LOC100131366
84892	C3orf39	chromosome 3 open reading frame 39
79088	ZNF426	zinc finger protein 426
81894	SLC25A28	solute carrier family 25, member 28
1473	CST5	cystatin D
23507	LRRC8B	leucine rich repeat containing 8 family, member B
8436	SDPR	serum deprivation response
23484	LEPROTL1	leptin receptor overlapping transcript-like 1
643951	[No Symbol]	[No Name]
729687	HMGN2P25	high mobility group nucleosomal binding domain 2 pseudogene 25
84299	C17orf37	chromosome 17 open reading frame 37
147837	ZNF563	zinc finger protein 563
79144	PPDPF	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)
51237	MZB1	marginal zone B and B1 cell-specific protein
54557	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
26092	TOR1AIP1	torsin A interacting protein 1
100129973	LOC100129973	hypothetical LOC100129973
374868	ATP9B	ATPase, class II, type 9B
348158	ACSM2B	acyl-CoA synthetase medium-chain family member 2B
729076	[No Symbol]	[No Name]
6886	TAL1	T-cell acute lymphocytic leukemia 1
728914	LOC728914	histone H3.3-like
8722	CTSF	cathepsin F
28429	IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional)
4601	MXI1	MAX interactor 1
345456	PFN3	profilin 3
22915	MMRN1	multimerin 1
440067	LOC440067	caspase-1-like
163259	DENND2C	DENN/MADD domain containing 2C
54414	SIAE	sialic acid acetylesterase
145259	RPSAP4	ribosomal protein SA pseudogene 4
100130880	LOC100130880	hypothetical protein LOC100130880
55363	HEMGN	hemogen
55070	DET1	de-etiolated homolog 1 (Arabidopsis)
29058	C20orf30	chromosome 20 open reading frame 30
26255	PTTG3P	pituitary tumor-transforming 3, pseudogene
54726	OTUD4	OTU domain containing 4
100129409	LOC100129409	hypothetical LOC100129409
1183	CLCN4	chloride channel 4
55623	THUMPD1	THUMP domain containing 1
91300	C19orf22	chromosome 19 open reading frame 22
1950	EGF	epidermal growth factor
55007	FAM118A	family with sequence similarity 118, member A
195828	ZNF367	zinc finger protein 367
5139	PDE3A	phosphodiesterase 3A, cGMP-inhibited
100132073	LOC100132073	cyclin B2 pseudogene
79842	ZBTB3	zinc finger and BTB domain containing 3
100131950	LOC100131950	methyltransferase like 5 pseudogene
117178	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein
219681	ARMC3	armadillo repeat containing 3
10322	SMYD5	SMYD family member 5
83744	ZNF484	zinc finger protein 484
116068	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3
406891	MIRLET7I	microRNA let-7i
3384	ICAM2	intercellular adhesion molecule 2
100130840	[No Symbol]	[No Name]
390190	OR5B2	olfactory receptor, family 5, subfamily B, member 2
10693	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)
55793	FAM63A	family with sequence similarity 63, member A
647115	FLJ36848	hypothetical LOC647115
121551	BTBD11	BTB (POZ) domain containing 11
442017	LOC442017	interferon induced transmembrane protein pseudogene
51142	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2
83695	C12orf32	chromosome 12 open reading frame 32
9848	MFAP3L	microfibrillar-associated protein 3-like
5469	MED1	mediator complex subunit 1
285331	CCDC66	coiled-coil domain containing 66
100129472	PTP4A1P6	protein tyrosine phosphatase type IVA, member 1 pseudogene 6
440574	C1orf151	chromosome 1 open reading frame 151
51759	C9orf78	chromosome 9 open reading frame 78
93323	HAUS8	HAUS augmin-like complex, subunit 8
84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
115752	DIS3L	DIS3 mitotic control homolog (S. cerevisiae)-like
643	CXCR5	chemokine (C-X-C motif) receptor 5
94121	SYTL4	synaptotagmin-like 4
23370	ARHGEF18	Rho/Rac guanine nucleotide exchange factor (GEF) 18
84779	NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit
26258	PLDN	pallidin homolog (mouse)
11341	SCRG1	stimulator of chondrogenesis 1
83746	L3MBTL2	l(3)mbt-like 2 (Drosophila)
143888	KDELC2	KDEL (Lys-Asp-Glu-Leu) containing 2
92595	ZNF764	zinc finger protein 764
8349	HIST2H2BE	histone cluster 2, H2be
84886	C1orf198	chromosome 1 open reading frame 198
152006	RNF38	ring finger protein 38
254228	FAM26E	family with sequence similarity 26, member E
2273	FHL1	four and a half LIM domains 1
112487	C14orf126	chromosome 14 open reading frame 126
55151	TMEM38B	transmembrane protein 38B
79710	MORC4	MORC family CW-type zinc finger 4
6224	RPS20	ribosomal protein S20
285636	C5orf51	chromosome 5 open reading frame 51
10911	UTS2	urotensin 2
100128469	LOC100128469	small nuclear ribonucleoprotein polypeptide C pseudogene
51206	GP6	glycoprotein VI (platelet)
340542	BEX5	brain expressed, X-linked 5
5669	PSG1	pregnancy specific beta-1-glycoprotein 1
649446	FLJ35776	hypothetical LOC649446
8368	HIST1H4L	histone cluster 1, H4l
254427	C10orf47	chromosome 10 open reading frame 47
26049	FAM169A	family with sequence similarity 169, member A
2123	EVI2A	ecotropic viral integration site 2A
3017	HIST1H2BD	histone cluster 1, H2bd
126375	ZNF792	zinc finger protein 792
3945	LDHB	lactate dehydrogenase B
100131284	LOC100131284	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 pseudogene
27244	SESN1	sestrin 1
5252	PHF1	PHD finger protein 1
4747	NEFL	neurofilament, light polypeptide
7166	TPH1	tryptophan hydroxylase 1
100130231	LOC100130231	similar to hCG1814455
729013	LOC729013	hypothetical LOC729013
497661	C18orf32	chromosome 18 open reading frame 32
100129502	LOC100129502	hypothetical protein LOC100129502
50486	G0S2	G0/G1switch 2
1389	CREBL2	cAMP responsive element binding protein-like 2
27316	RBMX	RNA binding motif protein, X-linked
100128339	BCAS2P3	breast carcinoma amplified sequence 2 pseudogene 3
9743	ARHGAP32	Rho GTPase activating protein 32
54664	TMEM106B	transmembrane protein 106B
26995	TRUB2	TruB pseudouridine (psi) synthase homolog 2 (E. coli)
23189	KANK1	KN motif and ankyrin repeat domains 1
100130218	[No Symbol]	[No Name]
5619	PRM1	protamine 1
8821	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa
94274	PPP1R14A	protein phosphatase 1, regulatory (inhibitor) subunit 14A
84326	C16orf13	chromosome 16 open reading frame 13
728711	[No Symbol]	[No Name]
253039	LOC253039	hypothetical LOC253039
131118	DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19
647209	[No Symbol]	[No Name]
84101	USP44	ubiquitin specific peptidase 44
29965	C16orf5	chromosome 16 open reading frame 5
163882	CNST	consortin, connexin sorting protein
9516	LITAF	lipopolysaccharide-induced TNF factor
1265	CNN2	calponin 2
2781	GNAZ	guanine nucleotide binding protein (G protein), alpha z polypeptide
10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
11102	RPP14	ribonuclease P/MRP 14kDa subunit
2841	GPR18	G protein-coupled receptor 18
84707	BEX2	brain expressed X-linked 2
81788	NUAK2	NUAK family, SNF1-like kinase, 2
267012	DAOA	D-amino acid oxidase activator
4700	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
8577	TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1
23221	RHOBTB2	Rho-related BTB domain containing 2
140775	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8
2959	GTF2B	general transcription factor IIB
10944	C11orf58	chromosome 11 open reading frame 58
10782	ZNF274	zinc finger protein 274
1816	DRD5	dopamine receptor D5
2354	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
729451	LOC729451	hypothetical protein LOC729451
389023	LOC389023	hypothetical LOC389023
1983	EIF5	eukaryotic translation initiation factor 5
22877	MLXIP	MLX interacting protein
7572	ZNF24	zinc finger protein 24
84987	C12orf62	chromosome 12 open reading frame 62
8405	SPOP	speckle-type POZ protein
642280	ZNF876P	zinc finger protein 876, pseudogene
646268	LOC646268	hCG1654703
7048	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)
51091	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
4956	ODF1	outer dense fiber of sperm tails 1
79758	DHRS12	dehydrogenase/reductase (SDR family) member 12
9093	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3
8029	CUBN	cubilin (intrinsic factor-cobalamin receptor)
93550	ANUBL1	AN1, ubiquitin-like, homolog (Xenopus laevis)
10455	ECI2	enoyl-CoA delta isomerase 2
57091	CASS4	Cas scaffolding protein family member 4
10472	ZNF238	zinc finger protein 238
441733	PRKXP1	protein kinase, X-linked, pseudogene 1
51554	CCRL1	chemokine (C-C motif) receptor-like 1
3575	IL7R	interleukin 7 receptor
100129412	[No Symbol]	[No Name]
2882	GPX7	glutathione peroxidase 7
55766	H2AFJ	H2A histone family, member J
3009	HIST1H1B	histone cluster 1, H1b
84460	ZMAT1	zinc finger, matrin-type 1
100129969	LOC100129969	transmembrane protein C9orf144B pseudogene
140735	DYNLL2	dynein, light chain, LC8-type 2
729314	LOC729314	putative POM121-like protein 1-like
121642	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)
168620	BHLHA15	basic helix-loop-helix family, member a15
10038	PARP2	poly (ADP-ribose) polymerase 2
387990	TOMM20L	translocase of outer mitochondrial membrane 20 homolog (yeast)-like
64282	PAPD5	PAP associated domain containing 5
100113384	SNORD123	small nucleolar RNA, C/D box 123
1397	CRIP2	cysteine-rich protein 2
199777	ZNF626	zinc finger protein 626
100129353	[No Symbol]	[No Name]
10868	USP20	ubiquitin specific peptidase 20
6668	SP2	Sp2 transcription factor
731282	LOC731282	hypothetical protein LOC731282
8328	GFI1B	growth factor independent 1B transcription repressor
328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1
25801	GCA	grancalcin, EF-hand calcium binding protein
55297	CCDC91	coiled-coil domain containing 91
64410	KLHL25	kelch-like 25 (Drosophila)
10054	UBA2	ubiquitin-like modifier activating enzyme 2
167	CRISP1	cysteine-rich secretory protein 1
389419	[No Symbol]	[No Name]
407025	MIR29B2	microRNA 29b-2
100131662	LOC100131662	hypothetical LOC100131662
23085	ERC1	ELKS/RAB6-interacting/CAST family member 1
29094	HSPC159	galectin-related protein
100131793	[No Symbol]	[No Name]
135293	PM20D2	peptidase M20 domain containing 2
374879	ZNF699	zinc finger protein 699
696	BTN1A1	butyrophilin, subfamily 1, member A1
161502	C15orf26	chromosome 15 open reading frame 26
79064	TMEM223	transmembrane protein 223
8347	HIST1H2BC	histone cluster 1, H2bc
1429	CRYZ	crystallin, zeta (quinone reductase)
84541	KBTBD8	kelch repeat and BTB (POZ) domain containing 8
85443	DCLK3	doublecortin-like kinase 3
22876	INPP5F	inositol polyphosphate-5-phosphatase F
57097	PARP11	poly (ADP-ribose) polymerase family, member 11
266812	NAP1L5	nucleosome assembly protein 1-like 5
123	PLIN2	perilipin 2
8330	HIST1H2AK	histone cluster 1, H2ak
23174	ZCCHC14	zinc finger, CCHC domain containing 14
201229	C17orf108	chromosome 17 open reading frame 108
6117	RPA1	replication protein A1, 70kDa
730651	LOC730651	zinc finger protein 709-like
100132345	[No Symbol]	[No Name]
57820	CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase
10209	EIF1	eukaryotic translation initiation factor 1
729992	ST13P1	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 1
84132	USP42	ubiquitin specific peptidase 42
644459	LOC644459	BEN domain containing 3 pseudogene
644397	LOC644397	leucine-rich repeat-containing protein 37A2-like
79752	ZFAND1	zinc finger, AN1-type domain 1
729954	[No Symbol]	[No Name]
225	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2
93164	HTR7P1	5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1
643445	LOC643445	tripartite motif containing 43 pseudogene
4953	ODC1	ornithine decarboxylase 1
403274	OR5H15	olfactory receptor, family 5, subfamily H, member 15
22986	SORCS3	sortilin-related VPS10 domain containing receptor 3
57396	CLK4	CDC-like kinase 4
128312	HIST3H2BB	histone cluster 3, H2bb
7693	ZNF134	zinc finger protein 134
100131183	HMGN2P30	high mobility group nucleosomal binding domain 2 pseudogene 30
284546	C1orf185	chromosome 1 open reading frame 185
257160	RNF214	ring finger protein 214
165545	DQX1	DEAQ box RNA-dependent ATPase 1
100129032	GLYATL1P1	glycine-N-acyltransferase-like 1 pseudogene 1
353329	PSIP1P1	PC4 and SFRS1 interacting protein 1 pseudogene 1
5892	RAD51L3	RAD51-like 3 (S. cerevisiae)
401884	MGC57346	hypothetical LOC401884
387535	HCRP1	hepatocellular carcinoma-related HCRP1
158905	PHF10P1	PHD finger protein 10 pseudogene 1
83699	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2
199834	LCE4A	late cornified envelope 4A
79066	METTL16	methyltransferase like 16
23111	SPG20	spastic paraplegia 20 (Troyer syndrome)
3301	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1
55906	ZC4H2	zinc finger, C4H2 domain containing
7316	UBC	ubiquitin C
387654	[No Symbol]	[No Name]
646934	LOC646934	putative golgin subfamily A member 6D-like
22869	ZNF510	zinc finger protein 510
4149	MAX	MYC associated factor X
11080	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4
55287	TMEM40	transmembrane protein 40
55619	DOCK10	dedicator of cytokinesis 10
23588	KLHDC2	kelch domain containing 2
894	CCND2	cyclin D2
58526	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))
9862	MED24	mediator complex subunit 24
